,UNITID,OPEID,OPEID6,SCH_DEG,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,PCIP51,UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_2MOR,UGDS_UNKN,UG_WHITENH,UG_BLACKNH,UG_HISPOLD,PPTUG_EF,CURROPER,NPT4_PRIV,NPT41_PRIV,NPT4_048_PRIV,NPT4_3075_PRIV,NUM4_PRIV,NUM41_PRIV,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,C150_L4,C150_L4_POOLED,POOLYRS,D150_L4,D150_L4_POOLED,POOLYRS200,PCTFLOAN,UG25ABV,CDR2,CDR3,D100_L4,DTRANS_L4,ICLEVEL,UGDS_MEN,UGDS_WOMEN,CDR3_DENOM,CDR2_DENOM
6324,457350,3856500,38565,1.0,1,1,1,1,2,12,5,12.0,29.652459999999998,-82.315551,-2.0,-2.0,-2.0,-2.0,1.0,49.0,,0.8367,0.1224,0.0408,0.0,0.0,0.0,0.0,,,,1.0,1,,,,,,,,,,6720.0,5773.0,,,0.5128,,,,,,,0.9487,0.3235,0.083,0.107,,,2,0.0,1.0,28.0,8.0
6325,457378,4146200,41462,1.0,1,1,1,1,1,12,5,32.0,30.732129999999998,-86.12813100000001,-2.0,-2.0,-2.0,-2.0,0.5464,115.0,,0.7826,0.1217,0.0348,0.0174,0.0261,0.0087,0.0,,,,0.1565,1,,,,,,,,,,3061.0,7939.0,,,0.7077,0.7857,0.65959787234042,2.0,14.0,47.0,2.0,0.0,0.6077,,,14.0,14.0,2,0.3652,0.6348,,
6326,457387,4150800,41508,1.0,1,1,1,1,1,12,5,32.0,26.42652,-81.425021,-2.0,-2.0,-2.0,-2.0,0.5,215.0,,0.2093,0.1302,0.6558,0.0,0.0,0.0047,0.0,,,,0.0,1,,,,,,,,,,2287.0,6566.0,,,0.3134,0.7111,0.67367894736842,2.0,135.0,285.0,2.0,0.0,0.1528,0.0,,135.0,135.0,2,0.507,0.493,,0.0
6327,457396,4151500,41515,1.0,1,1,1,1,3,12,5,21.0,30.123690000000003,-81.798751,-2.0,-2.0,-2.0,-2.0,0.0,117.0,,0.4957,0.3846,0.0684,0.0256,0.0,0.0,0.0256,,,,0.3761,1,14466.0,13984.0,14138.0,14911.0,20.0,15.0,,,,7723.0,636.0,,,0.5417,0.7037,0.6140157894736801,2.0,27.0,57.0,2.0,0.6019,0.6,0.297,0.369,27.0,27.0,3,0.3419,0.6581,65.0,37.0
6328,457402,4156300,41563,2.0,1,1,3,4,2,12,5,21.0,26.146191,-80.204083,24.0,5.0,6.0,88.0,0.0,31.0,,0.0968,0.8387,0.0645,0.0,0.0,0.0,0.0,,,,0.871,1,,,,,,,,7410.0,7410.0,9613.0,8285.0,3750.0,,0.5313,,,,,,,0.6563,0.9697,0.0,,,,1,0.2903,0.7097,,1.0
6329,457411,4156400,41564,1.0,1,1,1,1,3,12,5,21.0,28.680640999999998,-81.335192,-2.0,-2.0,-2.0,-2.0,0.0,209.0,,0.2871,0.1627,0.4498,0.0239,0.0048,0.0718,0.0,,,,0.0048,1,21348.0,19874.0,20213.0,25351.0,30.0,21.0,26639.0,17997.0,17997.0,15163.0,2243.0,,,0.5821,0.2222,0.53947894736842,4.0,18.0,76.0,2.0,0.6642,0.5299,0.259,0.16,18.0,18.0,2,0.9569,0.0431,125.0,54.0
6330,457420,4163000,41630,1.0,1,1,1,1,3,12,5,21.0,28.051820000000003,-82.525131,-2.0,-2.0,-2.0,-2.0,0.0,67.0,,0.6418,0.1194,0.209,0.0299,0.0,0.0,0.0,,,,0.4179,1,14730.0,14281.0,14319.0,16012.0,27.0,20.0,,,,10910.0,5537.0,,,0.5171,0.8421,0.87716666666666,2.0,19.0,57.0,2.0,0.5854,0.3838,0.076,0.045,19.0,19.0,3,0.0448,0.9552,66.0,52.0
6331,457439,4163100,41631,1.0,1,1,1,1,3,12,5,22.0,29.654740000000004,-82.416641,-2.0,-2.0,-2.0,-2.0,0.0,16.0,,0.625,0.3125,0.0,0.0,0.0,0.0625,0.0,,,,0.4375,1,14597.0,13855.0,14597.0,14902.0,24.0,7.0,,,,9220.0,4841.0,,,0.2292,0.9783,0.96432142857142,2.0,46.0,84.0,2.0,0.25,0.5405,0.0,0.109,46.0,46.0,3,0.0625,0.9375,55.0,16.0
6332,457448,4163200,41632,1.0,1,1,1,1,3,12,5,13.0,28.92987,-82.02827099999999,-2.0,-2.0,-2.0,-2.0,0.0,114.0,,0.5614,0.2105,0.1754,0.0,0.0088,0.0263,0.0088,,,,0.0,1,19496.0,18831.0,19118.0,20751.0,58.0,39.0,,,,12120.0,5051.0,,,0.6388,0.5321,0.58183963636363,2.0,109.0,275.0,2.0,0.8106,0.3784,0.086,0.07200000000000001,109.0,109.0,3,0.0789,0.9211,138.0,93.0
6333,457466,4149900,41499,1.0,1,1,1,1,3,13,5,11.0,33.681103,-84.387901,-2.0,-2.0,-2.0,-2.0,0.0,71.0,,0.0141,0.9718,0.0141,0.0,0.0,0.0,0.0,,,,0.0,1,9788.0,9689.0,9717.0,10836.0,46.0,42.0,,,,5568.0,3447.0,,,0.5556,0.9129999999999999,0.84702117647058,2.0,46.0,85.0,2.0,0.4907,0.75,0.35700000000000004,0.42200000000000004,46.0,46.0,3,0.8028,0.1972,45.0,24.0
6334,457475,4150900,41509,1.0,1,1,1,1,3,13,5,21.0,33.96488,-84.02253,-2.0,-2.0,-2.0,-2.0,0.0,90.0,,0.7667,0.1333,0.0444,0.0,0.0,0.0333,0.0222,,,,0.0,1,17427.0,16235.0,16389.0,18066.0,43.0,27.0,,,,9590.0,3063.0,,,0.3401,0.9718,0.8800020000000001,2.0,71.0,150.0,2.0,0.4082,0.4409,0.24100000000000002,0.125,71.0,71.0,3,0.0111,0.9889,88.0,62.0
6335,457484,2159701,21597,3.0,0,2,3,4,2,15,8,11.0,21.327878,-157.888673,22.0,6.0,7.0,79.0,0.0,96.0,,0.25,0.0313,0.1563,0.1458,0.0,0.1875,0.0,,,,0.3958,1,13892.0,12499.0,12532.0,14688.0,11.0,4.0,17855.0,9282.0,9282.0,9856.0,3691.0,,,0.4882,,,2.0,,,2.0,0.4252,0.3876,0.106,0.172,,,1,0.5625,0.4375,58.0,66.0
6336,457493,4150600,41506,1.0,1,1,1,1,3,16,7,33.0,42.5558,-114.469421,-2.0,-2.0,-2.0,-2.0,0.0,24.0,,0.6667,0.0417,0.2917,0.0,0.0,0.0,0.0,,,,0.0,1,25376.0,25003.0,25376.0,28740.0,10.0,9.0,30334.0,12500.0,12500.0,2378.0,2695.0,,,0.8,0.9474,0.9459405405405401,2.0,19.0,37.0,2.0,0.8,0.6,0.11699999999999999,0.233,19.0,19.0,2,0.0417,0.9583,30.0,13.0
6337,457509,4163800,41638,1.0,1,1,1,1,3,16,7,33.0,42.570508000000004,-114.45853500000001,-2.0,-2.0,-2.0,-2.0,0.0,30.0,,0.7,0.0,0.2333,0.0,0.0333,0.0333,0.0,,,,0.0,0,7261.0,6081.0,6342.0,8417.0,16.0,9.0,,,,2510.0,2114.0,,,0.3478,0.6071,0.499975,2.0,28.0,48.0,2.0,0.3043,0.1515,0.0,0.081,28.0,28.0,2,0.0,1.0,37.0,13.0
6338,457527,4124700,41247,1.0,1,1,1,2,3,17,3,13.0,42.07543,-88.210415,10.0,3.0,1.0,-2.0,1.0,397.0,,0.3123,0.19899999999999998,0.19399999999999998,0.267,0.0025,0.0151,0.0,,,,0.2872,1,28634.0,,26931.0,27141.0,7.0,0.0,,,,19684.0,8487.0,6938.0,0.3333,0.4117,0.6667,0.66668444444444,4.0,18.0,45.0,4.0,0.5197,0.7529,0.061,0.087,18.0,18.0,2,0.1285,0.8715,216.0,113.0
6339,457536,4139000,41390,1.0,1,1,1,1,3,17,3,11.0,41.88212,-87.637111,-2.0,-2.0,-2.0,-2.0,1.0,85.0,,0.0471,0.7529,0.1176,0.0,0.0,0.0235,0.0588,,,,0.0,1,14914.0,14914.0,14914.0,,9.0,9.0,,,,4340.0,5022.0,,,0.877,0.4167,0.75372342342342,2.0,24.0,333.0,2.0,0.9464,0.5778,0.055,0.0,24.0,24.0,2,0.0824,0.9176,43.0,18.0
6340,457545,4160600,41606,1.0,1,1,1,1,3,17,3,22.0,40.50952,-88.958681,-2.0,-2.0,-2.0,-2.0,0.0,102.0,,0.8922,0.0784,0.0294,0.0,0.0,0.0,0.0,,,,0.2157,1,19056.0,17928.0,17942.0,19228.0,38.0,16.0,,,,10087.0,3780.0,,,0.4489,0.6667,0.6593857142857099,2.0,54.0,182.0,2.0,0.5398,0.1679,0.09,0.122,54.0,54.0,3,0.0294,0.9706,106.0,44.0
6341,457554,4167800,41678,1.0,1,1,1,1,3,17,3,32.0,40.558285,-90.03310400000001,-2.0,-2.0,-2.0,-2.0,0.0,50.0,,0.94,0.04,0.0,0.0,0.0,0.0,0.02,,,,0.12,1,8583.0,8353.0,8452.0,11963.0,47.0,44.0,,,,9092.0,2787.0,,,0.7612,0.6471,0.72730227272727,2.0,17.0,44.0,4.0,0.7164,0.4,0.0,0.055,17.0,17.0,3,0.0,1.0,36.0,8.0
6342,457563,4155900,41559,1.0,1,1,1,1,3,18,3,11.0,39.90575,-86.064141,-2.0,-2.0,-2.0,-2.0,0.0,218.0,,0.9037,0.0596,0.0046,0.0,0.0138,0.0138,0.0046,,,,0.0,1,17116.0,17116.0,17116.0,,52.0,52.0,,,,10128.0,5464.0,,,0.3951,0.7324,0.77465,2.0,71.0,142.0,2.0,0.5802,0.2356,0.013999999999999999,0.023,71.0,71.0,3,0.0459,0.9541,86.0,71.0
